Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Adventure, Culture, Wildlife",High,Family,Budget,Train,"Ella, Galle, Mihintale, Kalutara, Sinharaja",Hike Ella Rock; Explore Dutch Fort in Galle; Climb Mihintale Rock Temple; Visit Kalutara Bodhiya; Trek in Sinharaja Rainforest
"Culture, Wildlife",High,Family,Luxury,Train,"Kandy, Kalutara, Habarana, Minneriya, Sinharaja",Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya; Safari in Habarana; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest
"Adventure, Relaxation, Culture",Low,Family,Budget,Train,"Ella, Unawatuna, Sinharaja, Mirissa, Dambulla, Ratnapura",Hike Ella Rock; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Go whale watching in Mirissa; Explore Dambulla Cave Temple; Visit gem mines in Ratnapura
Relaxation,Low,Family,Eco-friendly,Rental Car,Unawatuna,Relax at Unawatuna Beach
"Adventure, Relaxation, Culture",Low,Family,Eco-friendly,Train,"Unawatuna, Hikkaduwa, Mirissa, Dambulla, Polonnaruwa, Anuradhapura",Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Go whale watching in Mirissa; Explore Dambulla Cave Temple; Explore ancient ruins in Polonnaruwa; Visit ancient stupas in Anuradhapura
Beach,Medium,Solo,Luxury,Bus,"Negombo, Tangalle",Relax on Negombo Beach; Relax at Tangalle Beach
"Beach, Adventure, Wildlife",High,Solo,Luxury,Rental Car,"Negombo, Bentota, Mirissa, Nuwara Eliya, Sinharaja, Habarana",Relax on Negombo Beach; Jet skiing in Bentota; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest; Safari in Habarana
"Wildlife, Culture",Low,Solo,Eco-friendly,Rental Car,"Sinharaja, Udawalawa, Wilpattu, Jaffna",Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Explore Wilpattu National Park; Visit Jaffna Fort
"Relaxation, Culture",Medium,Family,Budget,Bus,"Arugambay, Mirissa, Polonnaruwa, Anuradhapura",Surf in Arugambay; Go whale watching in Mirissa; Explore ancient ruins in Polonnaruwa; Visit ancient stupas in Anuradhapura
"Adventure, Beach, Wildlife",High,Group,Luxury,Rental Car,"Mirissa, Arugambay, Hikkaduwa, Wilpattu, Sinharaja",Go whale watching in Mirissa; Surf in Arugambay; Snorkel in Hikkaduwa; Explore Wilpattu National Park; Trek in Sinharaja Rainforest
"Beach, Adventure, Wildlife",Medium,Group,Eco-friendly,Train,"Unawatuna, Hikkaduwa, Pasikudah, Unawatuna, Mirissa, Wilpattu",Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Enjoy snorkeling in Pasikudah; Relax at Unawatuna Beach; Go whale watching in Mirissa; Explore Wilpattu National Park
"Wildlife, Culture, Relaxation",Medium,Family,Eco-friendly,Bus,"Yala, Sinharaja, Habarana, Trincomalee, Galle, Arugambay, Unawatuna",Safari in Yala National Park; Trek in Sinharaja Rainforest; Safari in Habarana; Snorkel at Pigeon Island; Explore Dutch Fort in Galle; Surf in Arugambay; Relax at Unawatuna Beach
"Culture, Beach, Relaxation",High,Family,Budget,Rental Car,"Dambulla, Koggala, Arugambay, Ella",Explore Dambulla Cave Temple; Relax at Koggala Beach; Surf in Arugambay; Hike Ella Rock
"Wildlife, Beach, Adventure",Medium,Group,Budget,Train,"Yala, Habarana, Minneriya, Tangalle, Nuwara Eliya, Mirissa",Safari in Yala National Park; Safari in Habarana; Visit the elephant gathering in Minneriya; Relax at Tangalle Beach; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
"Adventure, Culture, Relaxation",Medium,Family,Eco-friendly,Train,"Unawatuna, Nuwara Eliya, Ella, Anuradhapura, Matara, Ella",Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Visit ancient stupas in Anuradhapura; Visit Parey Dewa in Matara; Hike Ella Rock
Wildlife,Low,Family,Budget,Train,"Sinharaja, Habarana",Trek in Sinharaja Rainforest; Safari in Habarana
"Culture, Relaxation",Low,Family,Luxury,Bus,"Trincomalee, Koggala, Jaffna, Negombo, Unawatuna",Snorkel at Pigeon Island; Relax at Koggala Beach; Visit Jaffna Fort; Relax on Negombo Beach; Relax at Unawatuna Beach
"Wildlife, Beach, Relaxation",Medium,Family,Luxury,Rental Car,"Habarana, Tangalle, Negombo, Galle",Safari in Habarana; Relax at Tangalle Beach; Relax on Negombo Beach; Explore Dutch Fort in Galle
"Adventure, Beach",Medium,Group,Eco-friendly,Bus,"Unawatuna, Sinharaja, Negombo",Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Relax on Negombo Beach
"Adventure, Wildlife, Culture",Low,Family,Luxury,Bus,"Unawatuna, Habarana, Koggala, Jaffna, Sigiriya",Relax at Unawatuna Beach; Safari in Habarana; Relax at Koggala Beach; Visit Jaffna Fort; Visit Sigiriya Rock Fortress
"Adventure, Culture",Medium,Family,Budget,Bus,"Mirissa, Anuradhapura, Kandy",Go whale watching in Mirissa; Visit ancient stupas in Anuradhapura; Visit the Temple of the Sacred Tooth Relic
"Relaxation, Culture, Wildlife",Low,Family,Eco-friendly,Bus,"Ella, Dambulla, Kandy, Jaffna, Koggala, Habarana, Minneriya",Hike Ella Rock; Explore Dambulla Cave Temple; Visit the Temple of the Sacred Tooth Relic; Visit Jaffna Fort; Relax at Koggala Beach; Safari in Habarana; Visit the elephant gathering in Minneriya
"Adventure, Culture, Beach",Medium,Family,Luxury,Rental Car,"Nuwara Eliya, Arugambay, Unawatuna, Ratnapura, Kandy, Kalutara, Mirissa, Arugambay",Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Relax at Unawatuna Beach; Visit gem mines in Ratnapura; Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya; Go whale watching in Mirissa; Surf in Arugambay
"Relaxation, Culture",Low,Solo,Eco-friendly,Rental Car,"Ella, Kalutara, Sigiriya, Galle, Anuradhapura",Hike Ella Rock; Visit Kalutara Bodhiya; Visit Sigiriya Rock Fortress; Explore Dutch Fort in Galle; Visit ancient stupas in Anuradhapura
"Culture, Beach, Relaxation",High,Solo,Luxury,Rental Car,"Kalutara, Mirissa, Weligama, Arugambay",Visit Kalutara Bodhiya; Go whale watching in Mirissa; Take surfing lessons in Weligama; Surf in Arugambay
Wildlife,Low,Solo,Eco-friendly,Train,"Yala, Minneriya, Habarana",Safari in Yala National Park; Visit the elephant gathering in Minneriya; Safari in Habarana
Adventure,High,Family,Eco-friendly,Bus,"Mirissa, Nuwara Eliya",Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya
Culture,Medium,Group,Luxury,Bus,Dambulla,Explore Dambulla Cave Temple
"Relaxation, Culture",Low,Group,Eco-friendly,Train,"Hatton, Matara, Kandy, Dambulla",Hike Adam’s Peak; Visit Parey Dewa in Matara; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple
"Beach, Culture, Wildlife",High,Group,Eco-friendly,Train,"Tangalle, Koggala, Kalutara, Habarana",Relax at Tangalle Beach; Relax at Koggala Beach; Visit Kalutara Bodhiya; Safari in Habarana
"Beach, Adventure, Wildlife",Medium,Family,Luxury,Train,"Negombo, Ella, Yala, Wilpattu",Relax on Negombo Beach; Hike Ella Rock; Safari in Yala National Park; Explore Wilpattu National Park
"Culture, Adventure",High,Family,Luxury,Bus,"Koggala, Arugambay",Relax at Koggala Beach; Surf in Arugambay
"Relaxation, Adventure",Medium,Solo,Luxury,Bus,"Hatton, Mirissa, Unawatuna, Nuwara Eliya",Hike Adam’s Peak; Go whale watching in Mirissa; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya
Adventure,Low,Group,Budget,Bus,"Arugambay, Nuwara Eliya",Surf in Arugambay; Tour tea plantations in Nuwara Eliya
"Culture, Relaxation",High,Family,Eco-friendly,Rental Car,"Dambulla, Polonnaruwa, Kandy, Hambanthota, Colombo, Kandy",Explore Dambulla Cave Temple; Explore ancient ruins in Polonnaruwa; Visit the Temple of the Sacred Tooth Relic; Explore Bundala National Park; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic
"Beach, Relaxation",High,Solo,Eco-friendly,Rental Car,"Hikkaduwa, Bentota, Galle",Snorkel in Hikkaduwa; Jet skiing in Bentota; Explore Dutch Fort in Galle
"Culture, Relaxation, Wildlife",Medium,Group,Budget,Rental Car,"Galle, Anuradhapura, Kandy, Hambanthota, Kalutara, Galle, Minneriya",Explore Dutch Fort in Galle; Visit ancient stupas in Anuradhapura; Visit the Temple of the Sacred Tooth Relic; Explore Bundala National Park; Visit Kalutara Bodhiya; Explore Dutch Fort in Galle; Visit the elephant gathering in Minneriya
"Beach, Adventure, Wildlife",Medium,Family,Eco-friendly,Rental Car,"Arugambay, Hikkaduwa, Udawalawa",Surf in Arugambay; Snorkel in Hikkaduwa; Elephant watching in Udawalawa
"Culture, Relaxation",Medium,Solo,Budget,Rental Car,"Anuradhapura, Dambulla, Kandy, Hatton, Matara",Visit ancient stupas in Anuradhapura; Explore Dambulla Cave Temple; Visit the Temple of the Sacred Tooth Relic; Hike Adam’s Peak; Visit Parey Dewa in Matara
"Wildlife, Culture, Relaxation",Low,Group,Luxury,Train,"Habarana, Udawalawa, Kandy, Galle",Safari in Habarana; Elephant watching in Udawalawa; Visit the Temple of the Sacred Tooth Relic; Explore Dutch Fort in Galle
Adventure,High,Solo,Luxury,Rental Car,"Unawatuna, Nuwara Eliya, Mirissa",Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
Beach,Medium,Solo,Budget,Bus,"Arugambay, Bentota",Surf in Arugambay; Jet skiing in Bentota
"Culture, Beach, Relaxation",Medium,Solo,Budget,Train,"Ratnapura, Jaffna, Unawatuna, Weligama, Ella",Visit gem mines in Ratnapura; Visit Jaffna Fort; Relax at Unawatuna Beach; Take surfing lessons in Weligama; Hike Ella Rock
"Wildlife, Relaxation, Adventure",Medium,Group,Luxury,Bus,"Udawalawa, Habarana, Colombo, Hikkaduwa",Elephant watching in Udawalawa; Safari in Habarana; Visit a Gangaramaya Temple; Snorkel in Hikkaduwa
"Beach, Culture, Relaxation",Medium,Family,Budget,Rental Car,"Jaffna, Mirissa, Arugambay, Galle, Trincomalee, Anuradhapura, Nuwara Eliya, Dambulla",Visit Jaffna Fort; Go whale watching in Mirissa; Surf in Arugambay; Explore Dutch Fort in Galle; Snorkel at Pigeon Island; Visit ancient stupas in Anuradhapura; Tour tea plantations in Nuwara Eliya; Explore Dambulla Cave Temple
"Culture, Adventure",Medium,Family,Budget,Train,"Dambulla, Arugambay",Explore Dambulla Cave Temple; Surf in Arugambay
Beach,Low,Solo,Eco-friendly,Rental Car,Tangalle,Relax at Tangalle Beach
Beach,Low,Solo,Budget,Bus,"Galle, Matara",Explore Dutch Fort in Galle; Visit Parey Dewa in Matara
"Culture, Relaxation, Wildlife",Low,Family,Eco-friendly,Bus,"Sigiriya, Nuwara Eliya, Udawalawa",Visit Sigiriya Rock Fortress; Tour tea plantations in Nuwara Eliya; Elephant watching in Udawalawa
"Beach, Relaxation",High,Solo,Luxury,Bus,"Hambanthota, Matara, Koggala",Explore Bundala National Park; Visit Parey Dewa in Matara; Relax at Koggala Beach
"Adventure, Culture, Wildlife",High,Solo,Eco-friendly,Bus,"Nuwara Eliya, Sigiriya, Dambulla, Sinharaja",Tour tea plantations in Nuwara Eliya; Visit Sigiriya Rock Fortress; Explore Dambulla Cave Temple; Trek in Sinharaja Rainforest
"Beach, Relaxation, Adventure",Low,Solo,Budget,Rental Car,"Hikkaduwa, Galle, Arugambay, Koggala, Kandy, Arugambay, Sinharaja, Ella",Snorkel in Hikkaduwa; Explore Dutch Fort in Galle; Surf in Arugambay; Relax at Koggala Beach; Visit the Temple of the Sacred Tooth Relic; Surf in Arugambay; Trek in Sinharaja Rainforest; Hike Ella Rock
"Culture, Wildlife, Adventure",High,Group,Eco-friendly,Bus,"Kalutara, Kandy, Wilpattu, Ella",Visit Kalutara Bodhiya; Visit the Temple of the Sacred Tooth Relic; Explore Wilpattu National Park; Hike Ella Rock
"Relaxation, Culture",Low,Group,Luxury,Bus,"Dambulla, Kandy, Galle, Dambulla",Explore Dambulla Cave Temple; Visit the Temple of the Sacred Tooth Relic; Explore Dutch Fort in Galle; Explore Dambulla Cave Temple
"Beach, Culture, Wildlife",Medium,Group,Luxury,Train,"Mirissa, Mihintale, Yala, Udawalawa, Habarana",Go whale watching in Mirissa; Climb Mihintale Rock Temple; Safari in Yala National Park; Elephant watching in Udawalawa; Safari in Habarana
"Wildlife, Culture",High,Family,Budget,Bus,"Wilpattu, Udawalawa, Koggala",Explore Wilpattu National Park; Elephant watching in Udawalawa; Relax at Koggala Beach
"Relaxation, Beach, Wildlife",High,Solo,Luxury,Train,"Arugambay, Galle, Ella, Jaffna, Unawatuna, Puttalam, Wilpattu, Minneriya, Sinharaja",Surf in Arugambay; Explore Dutch Fort in Galle; Hike Ella Rock; Visit Jaffna Fort; Relax at Unawatuna Beach; Birdwatch at Puttalam Lagoon; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest
"Adventure, Beach, Culture",High,Family,Luxury,Bus,"Nuwara Eliya, Arugambay, Matara, Jaffna, Sigiriya, Trincomalee",Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Visit Parey Dewa in Matara; Visit Jaffna Fort; Visit Sigiriya Rock Fortress; Snorkel at Pigeon Island
Wildlife,Medium,Solo,Luxury,Rental Car,"Habarana, Minneriya",Safari in Habarana; Visit the elephant gathering in Minneriya
"Adventure, Wildlife",Low,Solo,Luxury,Bus,"Ella, Sinharaja",Hike Ella Rock; Trek in Sinharaja Rainforest
"Wildlife, Adventure, Culture",Low,Group,Eco-friendly,Bus,"Yala, Wilpattu, Minneriya, Ella, Sinharaja, Arugambay, Trincomalee",Safari in Yala National Park; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Hike Ella Rock; Trek in Sinharaja Rainforest; Surf in Arugambay; Snorkel at Pigeon Island
"Adventure, Culture",Medium,Group,Budget,Train,"Sinharaja, Jaffna",Trek in Sinharaja Rainforest; Visit Jaffna Fort
"Wildlife, Relaxation, Adventure",Low,Group,Budget,Bus,"Wilpattu, Udawalawa, Sinharaja, Nuwara Eliya, Hambanthota, Mirissa, Nuwara Eliya, Hikkaduwa, Sinharaja",Explore Wilpattu National Park; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Explore Bundala National Park; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest
"Relaxation, Culture, Adventure",Low,Solo,Eco-friendly,Rental Car,"Mirissa, Hambanthota, Trincomalee, Kandy, Dambulla, Nuwara Eliya",Go whale watching in Mirissa; Explore Bundala National Park; Snorkel at Pigeon Island; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple; Tour tea plantations in Nuwara Eliya
"Beach, Wildlife",High,Group,Eco-friendly,Rental Car,"Arugambay, Kalutara, Minneriya, Yala, Sinharaja",Surf in Arugambay; Visit Kalutara Bodhiya; Visit the elephant gathering in Minneriya; Safari in Yala National Park; Trek in Sinharaja Rainforest
Relaxation,Medium,Group,Budget,Train,"Koggala, Ella",Relax at Koggala Beach; Hike Ella Rock
"Wildlife, Relaxation",Low,Group,Eco-friendly,Train,"Minneriya, Habarana, Udawalawa, Nuwara Eliya, Kandy, Matara",Visit the elephant gathering in Minneriya; Safari in Habarana; Elephant watching in Udawalawa; Tour tea plantations in Nuwara Eliya; Visit the Temple of the Sacred Tooth Relic; Visit Parey Dewa in Matara
"Relaxation, Wildlife",Medium,Family,Eco-friendly,Train,"Matara, Wilpattu",Visit Parey Dewa in Matara; Explore Wilpattu National Park
"Adventure, Wildlife, Culture",Medium,Family,Budget,Bus,"Sinharaja, Unawatuna, Minneriya, Jaffna, Polonnaruwa",Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Visit the elephant gathering in Minneriya; Visit Jaffna Fort; Explore ancient ruins in Polonnaruwa
"Wildlife, Culture, Relaxation",High,Group,Budget,Rental Car,"Wilpattu, Yala, Udawalawa, Dambulla, Polonnaruwa, Galle, Unawatuna, Mirissa, Hambanthota",Explore Wilpattu National Park; Safari in Yala National Park; Elephant watching in Udawalawa; Explore Dambulla Cave Temple; Explore ancient ruins in Polonnaruwa; Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Go whale watching in Mirissa; Explore Bundala National Park
Beach,High,Solo,Eco-friendly,Train,"Mirissa, Matara",Go whale watching in Mirissa; Visit Parey Dewa in Matara
"Beach, Wildlife",High,Solo,Eco-friendly,Rental Car,"Unawatuna, Arugambay, Matara, Yala, Udawalawa",Relax at Unawatuna Beach; Surf in Arugambay; Visit Parey Dewa in Matara; Safari in Yala National Park; Elephant watching in Udawalawa
"Relaxation, Beach, Culture",Medium,Family,Eco-friendly,Train,"Weligama, Unawatuna, Negombo, Galle, Kalutara, Matara, Ratnapura",Take surfing lessons in Weligama; Relax at Unawatuna Beach; Relax on Negombo Beach; Explore Dutch Fort in Galle; Visit Kalutara Bodhiya; Visit Parey Dewa in Matara; Visit gem mines in Ratnapura
"Adventure, Wildlife, Relaxation",High,Family,Budget,Train,"Ella, Arugambay, Nuwara Eliya, Sinharaja, Hambanthota, Ella, Galle",Hike Ella Rock; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest; Explore Bundala National Park; Hike Ella Rock; Explore Dutch Fort in Galle
Relaxation,Medium,Solo,Budget,Bus,"Mirissa, Colombo, Koggala",Go whale watching in Mirissa; Visit a Gangaramaya Temple; Relax at Koggala Beach
"Adventure, Culture, Relaxation",Low,Family,Budget,Bus,"Nuwara Eliya, Ella, Koggala, Kalutara, Nuwara Eliya, Hambanthota",Tour tea plantations in Nuwara Eliya; Hike Ella Rock; Relax at Koggala Beach; Visit Kalutara Bodhiya; Tour tea plantations in Nuwara Eliya; Explore Bundala National Park
"Culture, Adventure, Wildlife",Low,Solo,Budget,Bus,"Ratnapura, Jaffna, Arugambay, Wilpattu, Sinharaja, Udawalawa",Visit gem mines in Ratnapura; Visit Jaffna Fort; Surf in Arugambay; Explore Wilpattu National Park; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
Wildlife,High,Family,Luxury,Rental Car,"Yala, Sinharaja",Safari in Yala National Park; Trek in Sinharaja Rainforest
Culture,Medium,Solo,Eco-friendly,Train,"Kandy, Koggala",Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach
"Relaxation, Wildlife",High,Solo,Budget,Bus,"Weligama, Negombo, Sinharaja, Minneriya",Take surfing lessons in Weligama; Relax on Negombo Beach; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya
Wildlife,Low,Group,Luxury,Train,"Sinharaja, Habarana",Trek in Sinharaja Rainforest; Safari in Habarana
Beach,Medium,Family,Eco-friendly,Rental Car,"Galle, Mirissa",Explore Dutch Fort in Galle; Go whale watching in Mirissa
"Beach, Relaxation, Adventure",Low,Group,Luxury,Bus,"Puttalam, Unawatuna, Hikkaduwa, Unawatuna, Hatton, Koggala, Hikkaduwa, Arugambay",Birdwatch at Puttalam Lagoon; Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Hike Adam’s Peak; Relax at Koggala Beach; Snorkel in Hikkaduwa; Surf in Arugambay
"Wildlife, Adventure",Low,Solo,Budget,Train,"Yala, Sinharaja, Minneriya, Nuwara Eliya, Mirissa",Safari in Yala National Park; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
"Relaxation, Culture",Low,Family,Luxury,Rental Car,"Weligama, Dambulla, Ella, Polonnaruwa",Take surfing lessons in Weligama; Explore Dambulla Cave Temple; Hike Ella Rock; Explore ancient ruins in Polonnaruwa
Adventure,Medium,Solo,Budget,Train,"Unawatuna, Hikkaduwa",Relax at Unawatuna Beach; Snorkel in Hikkaduwa
Adventure,Low,Solo,Luxury,Train,"Sinharaja, Arugambay",Trek in Sinharaja Rainforest; Surf in Arugambay
Adventure,Low,Solo,Budget,Rental Car,Unawatuna,Relax at Unawatuna Beach
"Culture, Adventure",Low,Family,Budget,Rental Car,"Mihintale, Nuwara Eliya, Arugambay, Ella",Climb Mihintale Rock Temple; Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Hike Ella Rock
"Wildlife, Culture, Beach",High,Group,Luxury,Bus,"Minneriya, Yala, Mihintale, Anuradhapura, Tangalle, Arugambay",Visit the elephant gathering in Minneriya; Safari in Yala National Park; Climb Mihintale Rock Temple; Visit ancient stupas in Anuradhapura; Relax at Tangalle Beach; Surf in Arugambay
Beach,High,Family,Budget,Train,Hambanthota,Explore Bundala National Park
"Culture, Wildlife, Beach",High,Family,Luxury,Train,"Dambulla, Udawalawa, Bentota",Explore Dambulla Cave Temple; Elephant watching in Udawalawa; Jet skiing in Bentota
"Relaxation, Adventure",Low,Group,Luxury,Train,"Koggala, Colombo, Kandy, Sinharaja, Nuwara Eliya, Mirissa",Relax at Koggala Beach; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa
Culture,High,Group,Eco-friendly,Rental Car,"Trincomalee, Jaffna",Snorkel at Pigeon Island; Visit Jaffna Fort
Relaxation,High,Family,Luxury,Rental Car,"Kandy, Matara",Visit the Temple of the Sacred Tooth Relic; Visit Parey Dewa in Matara
"Relaxation, Wildlife, Adventure",Medium,Group,Eco-friendly,Bus,"Galle, Colombo, Udawalawa, Yala, Minneriya, Mirissa",Explore Dutch Fort in Galle; Visit a Gangaramaya Temple; Elephant watching in Udawalawa; Safari in Yala National Park; Visit the elephant gathering in Minneriya; Go whale watching in Mirissa
Relaxation,Low,Family,Eco-friendly,Bus,Unawatuna,Relax at Unawatuna Beach
"Culture, Adventure",Low,Solo,Luxury,Rental Car,"Polonnaruwa, Nuwara Eliya, Ella",Explore ancient ruins in Polonnaruwa; Tour tea plantations in Nuwara Eliya; Hike Ella Rock
Adventure,Low,Family,Eco-friendly,Rental Car,"Unawatuna, Ella, Mirissa",Relax at Unawatuna Beach; Hike Ella Rock; Go whale watching in Mirissa
Beach,High,Family,Luxury,Rental Car,"Dickwella, Negombo",Visit the Beach; Relax on Negombo Beach
"Relaxation, Wildlife, Culture",High,Solo,Eco-friendly,Rental Car,"Mirissa, Negombo, Koggala, Wilpattu, Minneriya, Kalutara",Go whale watching in Mirissa; Relax on Negombo Beach; Relax at Koggala Beach; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Visit Kalutara Bodhiya
"Culture, Adventure",High,Group,Budget,Train,"Dambulla, Sinharaja, Unawatuna",Explore Dambulla Cave Temple; Trek in Sinharaja Rainforest; Relax at Unawatuna Beach
"Beach, Adventure",Medium,Group,Budget,Rental Car,"Jaffna, Hikkaduwa, Sinharaja, Arugambay",Visit Jaffna Fort; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest; Surf in Arugambay
"Adventure, Wildlife, Beach",Low,Group,Luxury,Train,"Arugambay, Mirissa, Wilpattu, Minneriya, Yala, Bentota",Surf in Arugambay; Go whale watching in Mirissa; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Safari in Yala National Park; Jet skiing in Bentota
"Wildlife, Beach, Relaxation",Medium,Solo,Eco-friendly,Rental Car,"Minneriya, Dickwella, Unawatuna, Ella, Hatton",Visit the elephant gathering in Minneriya; Visit the Beach; Relax at Unawatuna Beach; Hike Ella Rock; Hike Adam’s Peak
"Wildlife, Relaxation, Culture",Medium,Family,Budget,Rental Car,"Sinharaja, Minneriya, Kalutara, Nuwara Eliya, Kalutara",Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Visit Kalutara Bodhiya; Tour tea plantations in Nuwara Eliya; Visit Kalutara Bodhiya
"Wildlife, Adventure",High,Family,Budget,Train,"Wilpattu, Habarana, Mirissa, Unawatuna",Explore Wilpattu National Park; Safari in Habarana; Go whale watching in Mirissa; Relax at Unawatuna Beach
"Relaxation, Beach",Medium,Group,Luxury,Train,"Arugambay, Kalutara, Unawatuna, Hambanthota",Surf in Arugambay; Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Explore Bundala National Park
Culture,High,Family,Budget,Train,"Sigiriya, Koggala, Ratnapura",Visit Sigiriya Rock Fortress; Relax at Koggala Beach; Visit gem mines in Ratnapura
"Relaxation, Beach, Adventure",Medium,Solo,Luxury,Rental Car,"Kalutara, Unawatuna, Bentota, Galle, Mirissa, Hikkaduwa, Nuwara Eliya",Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Jet skiing in Bentota; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya
"Adventure, Wildlife",Low,Family,Eco-friendly,Rental Car,"Sinharaja, Habarana, Sinharaja",Trek in Sinharaja Rainforest; Safari in Habarana; Trek in Sinharaja Rainforest
Wildlife,Medium,Solo,Eco-friendly,Rental Car,"Udawalawa, Yala, Habarana",Elephant watching in Udawalawa; Safari in Yala National Park; Safari in Habarana
"Culture, Adventure, Relaxation",High,Family,Budget,Bus,"Galle, Jaffna, Colombo, Nuwara Eliya, Colombo, Dambulla",Explore Dutch Fort in Galle; Visit Jaffna Fort; Visit a Gangaramaya Temple; Tour tea plantations in Nuwara Eliya; Visit a Gangaramaya Temple; Explore Dambulla Cave Temple
Adventure,Low,Family,Budget,Train,"Unawatuna, Mirissa",Relax at Unawatuna Beach; Go whale watching in Mirissa
"Wildlife, Culture, Relaxation",High,Group,Eco-friendly,Rental Car,"Wilpattu, Habarana, Sinharaja, Koggala, Kandy, Polonnaruwa, Arugambay",Explore Wilpattu National Park; Safari in Habarana; Trek in Sinharaja Rainforest; Relax at Koggala Beach; Visit the Temple of the Sacred Tooth Relic; Explore ancient ruins in Polonnaruwa; Surf in Arugambay
Beach,High,Group,Eco-friendly,Bus,"Galle, Hikkaduwa",Explore Dutch Fort in Galle; Snorkel in Hikkaduwa
"Wildlife, Adventure, Beach",High,Group,Luxury,Rental Car,"Sinharaja, Udawalawa, Unawatuna, Pasikudah",Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Relax at Unawatuna Beach; Enjoy snorkeling in Pasikudah
Adventure,Low,Group,Luxury,Bus,"Mirissa, Arugambay, Hikkaduwa",Go whale watching in Mirissa; Surf in Arugambay; Snorkel in Hikkaduwa
"Wildlife, Relaxation",High,Solo,Luxury,Rental Car,"Wilpattu, Galle, Dambulla",Explore Wilpattu National Park; Explore Dutch Fort in Galle; Explore Dambulla Cave Temple
"Beach, Culture, Adventure",Low,Group,Eco-friendly,Train,"Puttalam, Mirissa, Negombo, Polonnaruwa, Unawatuna, Arugambay",Birdwatch at Puttalam Lagoon; Go whale watching in Mirissa; Relax on Negombo Beach; Explore ancient ruins in Polonnaruwa; Relax at Unawatuna Beach; Surf in Arugambay
"Beach, Relaxation, Wildlife",Low,Group,Eco-friendly,Rental Car,"Matara, Bentota, Weligama, Mirissa, Hambanthota, Udawalawa",Visit Parey Dewa in Matara; Jet skiing in Bentota; Take surfing lessons in Weligama; Go whale watching in Mirissa; Explore Bundala National Park; Elephant watching in Udawalawa
Beach,Medium,Group,Luxury,Train,"Kalutara, Unawatuna, Dickwella",Visit Kalutara Bodhiya; Relax at Unawatuna Beach; Visit the Beach
